"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0017",0,1,"cluster_0017",0,1
3,"cluster_0010",0,0.301994301994302,"cluster_0010",0,0.301994301994302
4,"cluster_0006",0,0.0769230769230769,"cluster_0006",0,0.0769230769230769
5,"cluster_0030",34,1,"cluster_0011",7.8782067756565,0.341880341880342
6,"cluster_0005",4,0.0541310541310541,"cluster_0005",10.1224179917646,0.193732193732194
7,"cluster_0007",9,0.0769230769230769,"cluster_0002",9.10653507103553,0.0541310541310541
8,"cluster_0016",86,1,"cluster_0016",23.2424791491786,0.957264957264957
12,"cluster_0003",147,0.991452991452991,"cluster_0003",15.3793277811483,0.0541310541310541
13,"cluster_0004",43,0.0541310541310541,"cluster_0004",24.3327664888315,0.0911680911680912
18,"cluster_0001",147,0.0769230769230769,"cluster_0001",29.673820785332,0.0541310541310541
19,"cluster_0013",177,0.433048433048433,"cluster_0013",42.6209890664213,0.726495726495726
