"method_1","analysis_type","cluster_id_1","candidate_key_1","n_exons_1","n_subjects_1","n_events_1","diameter_1d_1","diameter_3d_1","p_1d_joint_1","p_3d_joint_1","p_any_joint_1","hotspot_class_1","significant_1d_1","significant_3d_1","significant_any_1","compactness_testable_1","method_2","matched_cluster_id_2","matched_candidate_key_2","matched_n_exons_2","matched_n_subjects_2","matched_n_events_2","matched_diameter_1d_2","matched_diameter_3d_2","matched_p_1d_joint_2","matched_p_3d_joint_2","matched_p_any_joint_2","matched_hotspot_class_2","matched_significant_1d_2","matched_significant_3d_2","matched_significant_any_2","matched_compactness_testable_2","jaccard_similarity","exact_match","significance_agrees","hotspot_class_agrees"
"complete","HOMDEL","HOMDEL_cluster_0015","2",1,26,26,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HOMDEL_cluster_0015","2",1,26,26,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0016","3",1,25,25,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HOMDEL_cluster_0016","3",1,25,25,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0017","4",1,19,19,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HOMDEL_cluster_0017","4",1,19,19,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0018","5",1,19,19,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HOMDEL_cluster_0018","5",1,19,19,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0019","6",1,14,14,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HOMDEL_cluster_0019","6",1,14,14,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0020","7",1,14,14,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HOMDEL_cluster_0020","7",1,14,14,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0021","8",1,14,14,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HOMDEL_cluster_0021","8",1,14,14,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0022","9",1,15,15,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HOMDEL_cluster_0022","9",1,15,15,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0001","2;5",2,73,76,3,4.48506255785825,0.115384615384615,0.115384615384615,0.115384615384615,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HETDEL_cluster_0001","2;5",2,73,76,3,4.48506255785825,0.115384615384615,0.115384615384615,0.115384615384615,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0002","1;2;5",3,77,82,4,5.2305078957644,0.307692307692308,0.115384615384615,0.115384615384615,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HETDEL_cluster_0002","1;2;5",3,77,82,4,5.2305078957644,0.307692307692308,0.115384615384615,0.115384615384615,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
