"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0014",0,1,"cluster_0014",0,1
3,"cluster_0008",0,0.558758314855876,"cluster_0008",0,0.558758314855876
4,"cluster_0004",1,0.277161862527716,"cluster_0004",3.8634365531221,0.250554323725055
5,"cluster_0007",5,0.478935698447894,"cluster_0007",10.7390200670266,0.87139689578714
6,"cluster_0013",26,0.997782705099778,"cluster_0037",19.1222392517194,1
7,"cluster_0011",64,1,"cluster_0011",19.1222392517194,0.984478935698448
8,"cluster_0002",14,0.0532150776053215,"cluster_0002",24.8149722748183,0.997782705099778
9,"cluster_0006",26,0.297117516629712,"cluster_0006",24.8149722748183,0.942350332594235
10,"cluster_0010",52,0.800443458980044,"cluster_0010",49.1730474243767,1
12,"cluster_0012",470,1,"cluster_0012",67.3470759721608,0.997782705099778
15,"cluster_0001",90,0.30820399113082,"cluster_0001",30.4670553056904,0.0532150776053215
16,"cluster_0005",116,0.277161862527716,"cluster_0005",52.2594922478204,0.250554323725055
18,"cluster_0009",250,0.631929046563193,"cluster_0009",92.4652733787123,0.944567627494457
26,"cluster_0003",586,0.997782705099778,"cluster_0003",112.221559158657,0.232815964523282
