"reference_run","comparison_run","reference_cluster_id","comparison_cluster_id","shared_residues","union_residues","jaccard","dice","overlap_coefficient","reference_recall","comparison_precision","size_difference","left_boundary_shift","right_boundary_shift","centroid_shift","reference_p_any","comparison_p_any","delta_p_any","log10_p_ratio","reference_significant","comparison_significant","significance_flip","protein","n_sim","plddt_threshold"
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0023","cluster_0023",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0024","cluster_0024",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0025","cluster_0025",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0026","cluster_0026",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0027","cluster_0027",3,3,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0028","cluster_0028",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0029","cluster_0029",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0030","cluster_0030",3,3,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0031","cluster_0031",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0032","cluster_0032",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0033","cluster_0033",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0034","cluster_0034",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0035","cluster_0035",4,4,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0036","cluster_0036",4,4,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0037","cluster_0037",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0038","cluster_0038",8,8,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0039","cluster_0039",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0040","cluster_0040",3,3,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0041","cluster_0041",11,11,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0001","cluster_0004",4,4,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.217821782178218,0.197861702337898,1.03793903290681,TRUE,FALSE,TRUE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0002","cluster_0005",7,7,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.217821782178218,0.197861702337898,1.03793903290681,TRUE,FALSE,TRUE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0003","cluster_0007",17,17,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.217821782178218,0.197861702337898,1.03793903290681,TRUE,FALSE,TRUE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0004","cluster_0006",15,15,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.217821782178218,0.197861702337898,1.03793903290681,TRUE,FALSE,TRUE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0005","cluster_0009",3,3,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.217821782178218,0.197861702337898,1.03793903290681,TRUE,FALSE,TRUE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0006","cluster_0011",7,7,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.217821782178218,0.197861702337898,1.03793903290681,TRUE,FALSE,TRUE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0007","cluster_0010",5,5,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.217821782178218,0.197861702337898,1.03793903290681,TRUE,FALSE,TRUE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0008","cluster_0002",3,3,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.217821782178218,0.197861702337898,1.03793903290681,TRUE,FALSE,TRUE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0009","cluster_0012",18,18,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.217821782178218,0.197861702337898,1.03793903290681,TRUE,FALSE,TRUE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0010","cluster_0013",9,9,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.217821782178218,0.197861702337898,1.03793903290681,TRUE,FALSE,TRUE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0011","cluster_0014",20,20,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.217821782178218,0.197861702337898,1.03793903290681,TRUE,FALSE,TRUE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0012","cluster_0001",1,1,1,1,1,1,1,0,0,0,0,0.0598802395209581,0.217821782178218,0.15794154265726,0.560817778187147,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0013","cluster_0003",3,3,1,1,1,1,1,0,0,0,0,0.0598802395209581,0.217821782178218,0.15794154265726,0.560817778187147,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0014","cluster_0008",3,3,1,1,1,1,1,0,0,0,0,0.115768463073852,0.217821782178218,0.102053319104366,0.274511039343872,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0015","cluster_0016",4,4,1,1,1,1,1,0,0,0,0,0.115768463073852,0.386138613861386,0.270370150787534,0.523152965548165,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0016","cluster_0015",1,1,1,1,1,1,1,0,0,0,0,0.253493013972056,0.386138613861386,0.13264559988933,0.182777238155146,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0017","cluster_0017",8,8,1,1,1,1,1,0,0,0,0,0.518962075848303,0.524752475247525,0.00579039939922144,0.00481887371457429,FALSE,FALSE,FALSE,"TP53",200,0
