"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0011",0,1,"cluster_0011",0,1
3,"cluster_0013",1,1,"cluster_0013",3.83904271922051,1
4,"cluster_0004",0,0.297029702970297,"cluster_0004",0,0.297029702970297
5,"cluster_0021",25,1,"cluster_0021",14.1271877243845,1
6,"cluster_0009",3,0.801980198019802,"cluster_0009",5.62268236698464,0.702970297029703
7,"cluster_0006",3,0.415841584158416,"cluster_0006",5.4642277587963,0.297029702970297
10,"cluster_0001",5,0.148514851485149,"cluster_0001",8.75922079867838,0.148514851485149
13,"cluster_0005",18,0.366336633663366,"cluster_0005",15.2581719088494,0.297029702970297
15,"cluster_0002",25,0.148514851485149,"cluster_0002",18.753726269731,0.148514851485149
17,"cluster_0007",33,0.366336633663366,"cluster_0007",30.4777692917313,0.722772277227723
19,"cluster_0008",46,0.435643564356436,"cluster_0008",29.3831128371383,0.435643564356436
21,"cluster_0003",54,0.148514851485149,"cluster_0003",32.0359786646202,0.475247524752475
