min_sep,seed,n_closest,n_sim,elapsed_sec,analysis_type,exon_orders,n_exons,n_subjects,n_events,diameter_1d,diameter_3d,p_1d_size,p_3d_size,p_1d_joint,p_3d_joint,p_any_joint,p_hotspot_omnibus,significant_1d,significant_3d,significant_any,hotspot_class
0,20260903,10,1000,366.543890953064,GAIN,5;6;7;8;9,5,5,5,4,10.9439491443034,0.896207584830339,0.764471057884232,0.988023952095808,0.834331337325349,0.834331337325349,0.834331337325349,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,GAIN,6;7,2,4,4,1,4.01215181792149,0.936127744510978,0.878243512974052,0.996007984031936,0.978043912175649,0.978043912175649,0.978043912175649,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,GAIN,7;8,2,4,4,1,4.68982927509073,0.936127744510978,0.916167664670659,0.996007984031936,0.994011976047904,0.994011976047904,0.994011976047904,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,GAIN,5;6,2,4,4,1,5.10646534810882,0.936127744510978,0.93812375249501,0.996007984031936,1.0,0.996007984031936,0.996007984031936,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,GAIN,4;5,2,3,3,1,4.13552719441997,0.992015968063872,0.986027944111776,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,GAIN,1;2,2,2,3,1,4.22655401260275,0.980039920159681,0.980039920159681,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,GAIN,3;4,2,3,3,1,4.76045896674616,0.992015968063872,0.99001996007984,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,GAIN,3;4;5,3,3,3,2,4.76045896674616,0.992015968063872,0.99001996007984,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,GAIN,8;9,2,3,3,1,5.05285036511315,0.992015968063872,0.992015968063872,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,GAIN,6;7;8;9,4,4,4,3,9.22117879870951,0.952095808383233,0.944111776447106,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,GAIN,7;8;9,3,4,4,2,9.22117879870951,0.93812375249501,0.944111776447106,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,GAIN,1;2;3;4,4,4,5,3,16.3460643982555,0.952095808383233,0.958083832335329,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,GAIN,1;2;3;4;5,5,4,5,4,16.3460643982555,0.958083832335329,0.958083832335329,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,GAIN,1;2;3;4;5;6;7;8;9,9,6,7,8,28.8115114211029,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,GAIN,1,1,2,2,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HOMDEL,1;2,2,27,27,1,4.22655401260275,0.169660678642715,0.0199600798403194,0.325349301397206,0.0598802395209581,0.0598802395209581,0.0598802395209581,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HOMDEL,3;4;5,3,31,31,2,4.76045896674616,0.0259481037924152,0.0259481037924152,0.0678642714570858,0.0678642714570858,0.0678642714570858,0.0678642714570858,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HOMDEL,1;2;3;4;5,5,33,33,4,16.3460643982555,0.0578842315369262,0.0578842315369262,0.105788423153693,0.105788423153693,0.105788423153693,0.105788423153693,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HOMDEL,6;7,2,14,14,1,4.01215181792149,0.393213572854291,0.325349301397206,0.882235528942116,0.716566866267465,0.716566866267465,0.716566866267465,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HOMDEL,7;8,2,14,14,1,4.68982927509073,0.393213572854291,0.345309381237525,0.882235528942116,0.720558882235529,0.720558882235529,0.720558882235529,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HOMDEL,8;9,2,15,15,1,5.05285036511315,0.429141716566866,0.429141716566866,0.916167664670659,0.916167664670659,0.916167664670659,0.916167664670659,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HOMDEL,6;7;8;9,4,15,15,3,9.22117879870951,0.439121756487026,0.439121756487026,0.926147704590818,0.926147704590818,0.926147704590818,0.926147704590818,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HOMDEL,7;8;9,3,15,15,2,9.22117879870951,0.439121756487026,0.439121756487026,0.926147704590818,0.926147704590818,0.926147704590818,0.926147704590818,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HOMDEL,4;5,2,19,19,1,4.13552719441997,0.748502994011976,0.682634730538922,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HOMDEL,5;6,2,19,20,1,5.10646534810882,0.748502994011976,0.748502994011976,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HOMDEL,5;6;7;8;9,5,20,21,4,10.9439491443034,0.838323353293413,0.838323353293413,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HOMDEL,1;2;3;4;5;6;7;8;9,9,34,35,8,28.8115114211029,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HOMDEL,1,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HOMDEL,2,1,26,26,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HOMDEL,3,1,25,25,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HOMDEL,4,1,19,19,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HOMDEL,5,1,19,19,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HOMDEL,6,1,14,14,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HOMDEL,7,1,14,14,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HOMDEL,8,1,14,14,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HOMDEL,9,1,15,15,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,ALL_CNA,1;2;3;4,4,102,121,3,16.3460643982555,0.0019960079840319,0.0059880239520958,0.0019960079840319,0.0099800399201596,0.0019960079840319,0.0019960079840319,True,True,True,Exon-local CNA hotspot also compact in structure
0,20260903,10,1000,366.543890953064,ALL_CNA,3;4,2,95,107,1,4.76045896674616,0.0019960079840319,0.0099800399201596,0.0019960079840319,0.0179640718562874,0.0019960079840319,0.0019960079840319,True,True,True,Exon-local CNA hotspot also compact in structure
0,20260903,10,1000,366.543890953064,ALL_CNA,1;2;3;4;5,5,102,121,4,16.3460643982555,0.0059880239520958,0.0059880239520958,0.0099800399201596,0.0099800399201596,0.0099800399201596,0.0099800399201596,True,True,True,Exon-local CNA hotspot also compact in structure
0,20260903,10,1000,366.543890953064,ALL_CNA,1;2,2,89,92,1,4.22655401260275,0.0339321357285429,0.0079840319361277,0.0958083832335329,0.0159680638722555,0.0159680638722555,0.0159680638722555,False,True,True,Nonlocal 3D-specific exon CNA hotspot
0,20260903,10,1000,366.543890953064,ALL_CNA,3;4;5,3,95,107,2,4.76045896674616,0.0099800399201596,0.0099800399201596,0.0179640718562874,0.0179640718562874,0.0179640718562874,0.0179640718562874,True,True,True,Exon-local CNA hotspot also compact in structure
0,20260903,10,1000,366.543890953064,ALL_CNA,8;9,2,56,57,1,5.05285036511315,0.129740518962076,0.129740518962076,0.407185628742515,0.407185628742515,0.407185628742515,0.407185628742515,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,ALL_CNA,7;8,2,59,59,1,4.68982927509073,0.201596806387226,0.145708582834331,0.808383233532934,0.582834331337325,0.582834331337325,0.582834331337325,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,ALL_CNA,6;7,2,61,61,1,4.01215181792149,0.209580838323353,0.153692614770459,0.854291417165669,0.688622754491018,0.688622754491018,0.688622754491018,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,ALL_CNA,7;8;9,3,59,60,2,9.22117879870951,0.201596806387226,0.201596806387226,0.808383233532934,0.808383233532934,0.808383233532934,0.808383233532934,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,ALL_CNA,6;7;8;9,4,61,62,3,9.22117879870951,0.211576846307385,0.211576846307385,0.854291417165669,0.854291417165669,0.854291417165669,0.854291417165669,False,False,False,Weak clustering evidence
